Date,USD,CAD
02/09/2021,1,1.32
02/10/2021,1,1.321
02/11/2021,1,1.322
02/12/2021,1,1.322
02/13/2021,1,1.323
02/14/2021,1,1.323
02/15/2021,1,1.324
02/16/2021,1,1.325
02/17/2021,1,1.325
02/18/2021,1,1.326
02/19/2021,1,1.327
02/20/2021,1,1.327
02/21/2021,1,1.328
02/22/2021,1,1.328
02/23/2021,1,1.329
02/24/2021,1,1.33
02/25/2021,1,1.33
02/26/2021,1,1.331
02/27/2021,1,1.331
02/28/2021,1,1.332
03/01/2021,1,1.333
03/02/2021,1,1.333
03/03/2021,1,1.334
03/04/2021,1,1.334
03/05/2021,1,1.335
03/06/2021,1,1.336
03/07/2021,1,1.336
03/08/2021,1,1.337
03/09/2021,1,1.337
03/10/2021,1,1.338
03/11/2021,1,1.339
03/12/2021,1,1.339
03/13/2021,1,1.34
03/14/2021,1,1.34
03/15/2021,1,1.341
03/16/2021,1,1.342
03/17/2021,1,1.342
03/18/2021,1,1.343
03/19/2021,1,1.344
03/20/2021,1,1.344
03/21/2021,1,1.345
03/22/2021,1,1.345
03/23/2021,1,1.346
03/24/2021,1,1.347
03/25/2021,1,1.347
03/26/2021,1,1.348
03/27/2021,1,1.348
03/28/2021,1,1.349
03/29/2021,1,1.35
03/30/2021,1,1.35
04/01/2021,1,1.297
04/02/2021,1,1.298
04/03/2021,1,1.299
04/04/2021,1,1.298
04/05/2021,1,1.299
04/06/2021,1,1.297
04/07/2021,1,1.299
04/08/2021,1,1.304
04/09/2021,1,1.302
04/10/2021,1,1.302
04/11/2021,1,1.303
04/12/2021,1,1.303
04/13/2021,1,1.304
04/14/2021,1,1.305
04/15/2021,1,1.305
04/16/2021,1,1.306
04/17/2021,1,1.306
04/18/2021,1,1.307
04/19/2021,1,1.308
04/20/2021,1,1.308
04/21/2021,1,1.309
04/22/2021,1,1.31
04/23/2021,1,1.31
04/24/2021,1,1.311
04/25/2021,1,1.311
04/26/2021,1,1.312
04/27/2021,1,1.313
04/28/2021,1,1.313
04/29/2021,1,1.314
04/30/2021,1,1.314
05/01/2021,1,1.315
05/02/2021,1,1.316
05/03/2021,1,1.316
05/04/2021,1,1.317
05/05/2021,1,1.317
05/06/2021,1,1.318
05/07/2021,1,1.319
05/08/2021,1,1.319
05/09/2021,1,1.32
05/10/2021,1,1.32
05/11/2021,1,1.321
05/12/2021,1,1.322
05/13/2021,1,1.322
05/14/2021,1,1.323
05/15/2021,1,1.323
05/16/2021,1,1.324
05/17/2021,1,1.325
05/18/2021,1,1.325
05/19/2021,1,1.326
05/20/2021,1,1.327
05/21/2021,1,1.327
05/22/2021,1,1.328
05/23/2021,1,1.328
05/24/2021,1,1.329
05/25/2021,1,1.33
05/26/2021,1,1.33
05/27/2021,1,1.331
05/28/2021,1,1.331
05/29/2021,1,1.332
05/30/2021,1,1.333
05/31/2021,1,1.333
06/01/2021,1,1.334
06/02/2021,1,1.334
06/03/2021,1,1.335
06/04/2021,1,1.336
06/05/2021,1,1.336
06/06/2021,1,1.337
06/07/2021,1,1.337
06/08/2021,1,1.338
06/09/2021,1,1.339
06/10/2021,1,1.339
06/11/2021,1,1.34
06/12/2021,1,1.34
06/13/2021,1,1.341
06/14/2021,1,1.342
06/15/2021,1,1.342
06/16/2021,1,1.343
06/17/2021,1,1.344
06/18/2021,1,1.344
06/19/2021,1,1.345
06/20/2021,1,1.345
06/21/2021,1,1.346
06/22/2021,1,1.347
06/23/2021,1,1.347
06/24/2021,1,1.348
06/25/2021,1,1.348
06/26/2021,1,1.349
06/27/2021,1,1.35
06/28/2021,1,1.35
06/29/2021,1,1.351
06/30/2021,1,1.351
07/01/2021,1,1.338
07/02/2021,1,1.338
07/03/2021,1,1.338
07/04/2021,1,1.338
07/05/2021,1,1.339
07/06/2021,1,1.339
07/07/2021,1,1.339
07/08/2021,1,1.339
07/09/2021,1,1.339
07/10/2021,1,1.339
07/11/2021,1,1.34
07/12/2021,1,1.34
07/13/2021,1,1.34
07/14/2021,1,1.34
07/15/2021,1,1.34
07/16/2021,1,1.34
07/17/2021,1,1.341
07/18/2021,1,1.341
07/19/2021,1,1.341
07/20/2021,1,1.341
07/21/2021,1,1.341
07/22/2021,1,1.341
07/23/2021,1,1.341
07/24/2021,1,1.342
07/25/2021,1,1.342
07/26/2021,1,1.342
07/27/2021,1,1.342
07/28/2021,1,1.342
07/29/2021,1,1.342
07/30/2021,1,1.343
07/31/2021,1,1.343
08/01/2021,1,1.343
08/02/2021,1,1.343
08/03/2021,1,1.343
08/04/2021,1,1.343
08/05/2021,1,1.343
08/06/2021,1,1.344
08/07/2021,1,1.344
08/08/2021,1,1.344
08/09/2021,1,1.344
08/10/2021,1,1.344
08/11/2021,1,1.344
08/12/2021,1,1.345
08/13/2021,1,1.345
08/14/2021,1,1.345
08/15/2021,1,1.345
08/16/2021,1,1.345
08/17/2021,1,1.345
08/18/2021,1,1.346
08/19/2021,1,1.346
08/20/2021,1,1.346
08/21/2021,1,1.346
08/22/2021,1,1.346
08/23/2021,1,1.346
08/24/2021,1,1.346
08/25/2021,1,1.347
08/26/2021,1,1.347
08/27/2021,1,1.347
08/28/2021,1,1.347
08/29/2021,1,1.347
08/30/2021,1,1.347
08/31/2021,1,1.348
09/01/2021,1,1.348
09/02/2021,1,1.348
09/03/2021,1,1.348
09/04/2021,1,1.348
09/05/2021,1,1.348
09/06/2021,1,1.349
09/07/2021,1,1.349
09/08/2021,1,1.349
09/09/2021,1,1.349
09/10/2021,1,1.349
09/11/2021,1,1.349
09/12/2021,1,1.349
09/13/2021,1,1.35
09/14/2021,1,1.35
09/15/2021,1,1.35
09/16/2021,1,1.35
09/17/2021,1,1.35
09/18/2021,1,1.35
09/19/2021,1,1.351
09/20/2021,1,1.351
09/21/2021,1,1.351
09/22/2021,1,1.351
09/23/2021,1,1.351
09/24/2021,1,1.351
09/25/2021,1,1.351
09/26/2021,1,1.352
09/27/2021,1,1.352
09/28/2021,1,1.352
09/29/2021,1,1.352
09/30/2021,1,1.352
